checkin_dates,checkout_dates,h_address1,h_address2,h_amenities1,h_amenities2,h_amenities3,h_amenities4,h_amenities5,h_amenities6,h_amenities7,h_name,h_phone,h_ranking,h_rating_avg,h_rating_excellent,h_rating_poor,h_rating_terrible,h_rating_vgood,h_review1,h_review2,h_review3,h_review4,h_review5,h_reviewnums,h_starrating,h_tripadvisor_rating,tripadvisor_price,expedia_price,orbitz_price
16-Apr,17-Apr,420 Papaloa Road,"Kapaa, Kauai, HI 96746-1449",Free Wifi,Parking,Breakfast Available,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Kauai Shores Hotel,(808) 201-6271,#7,12%,43%,6%,2%,37%,"Great location! Kauai is a very small island. From the Kauai Shores you can go to the sights to the north or loop around to the south with equal ease. Right on the ocean. Superb restaurant next door, Lava Lava Beach Club. Try the Kahlua...","This hotel is a very lovely spot to relax and use as a hub from which to go and enjoy Kauai. The property is lovely with well-done landscaping and a playful look and vibe. It is not a fancy resort, necessarily, but it has two...","Stayed a night here and it was pretty decent. The room had what are to me the essentials - comfortable beds, TV, keurig (with a couple of k cups), mini fridge and a hair dryer. There is a private beach with chairs to sit on,...","Nice clean hotel close to market , stores and restaurants.
Roosters will wake you up early morning so you can't really sleep in! Which is a good thing because there is alot to visit before the sunset !
Free parking but fills up very fast...",This was a lovely hotel. We liked the location and that it had a restaurant on site. The rooms are a little small and lacks storage space and that would be the only downfall. The beds comfy and the forward rooms had new ac units....,130 reviews, Restaurant ,4,189,189,189
16-Apr,17-Apr,420 Papaloa Road,"Kapaa, Kauai, HI 96746-1449",Free Wifi,Parking,Breakfast Available,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Kauai Shores Hotel,(808) 201-6271,#7,12%,43%,6%,2%,37%,"Perfect location on the golden sand beach and clean ocean , great bar, music and two pools with a hot tub. The folks here are doing there best to make you feel at home. The Kauai locals come to the bar for good food and...","We stayed for 12 nights and had a great time. Rooms were clean, (we requested a garden view, which made it nice and quiet) and all staff were very friendly and accommodating. You can stay by the pool or walk few steps to the beach....","We spent 2 weeks at the beginning of January 2018 and loved every minute of it.  The room decor, staff, facilities and Lava Lava beach club were great.  We had the best customer service from all the staff from beginning to end.  The location was...","This little gem made our visit in Kauai complete. A throwback to the 50""s and simpler times, it was a perfect place for us. The room was comfortable, great beds and pleasant, helpful staff. The grounds are beautiful and beach access was right outside your...","It is reasonable and convenient to shop, dine, and drive to hole Kauai. The beach is in front of the hotel and it is good to walk along and relaxed. Lava lava restaurant has also a good ambience at night and I could enjoy music...",130 reviews, Restaurant ,4,189,189,189
16-Apr,17-Apr,520 Aleka Loop,"Kapaa, Kauai, HI 96746-1452",Free Wifi,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Restaurant,Kauai Coast Resort at the Beachboy,+1 866-723-9878,#8,8%,60%,2%,2%,28%,We are owners at this resort as well. We love the location for access to all parts of the island and there is a great view of the ocean and places to walk along the beachfront. Hopefully the area beside does not get developed as...,"Amazing view, amazing service, amazing place. We loved every minute of our experience. The staff was always courteous and friendly. The beach is right outside and it’s all just so beautiful. Everything was always clean and nice.","Full disclosure:  We are owners at this resort.  We bought here in 2000 because it has wonderful grounds, great rooms, and great service.  We love it.  I do have to say, though, that they are still in the process of updating the interiors of the...","I was really hopeful that the Beachboy would end up being our go-to Kauai lodging; but that's not going to be the case.  I like the location in Kapaa and the dinner-restaurant is one of our favorites on Kauai (especially considering cost), but unless we...","This resort is gorgeous, with its lush Hawaiian foliage all around.  The grounds and units are very clean and well-maintained. We had a refurbished unit, and it was beautiful!! This property has a quiet, relaxing feel - away from the hustle and bustle of larger...",756 reviews, Suites ,4.5,245,245,245
16-Apr,17-Apr,520 Aleka Loop,"Kapaa, Kauai, HI 96746-1452",Free Wifi,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Restaurant,Kauai Coast Resort at the Beachboy,+1 866-723-9878,#8,8%,60%,2%,2%,28%,"Just spent six nights here, over Christmas, in a two bedroom garden view room, which had just been renovated. Everything was new and sparkly clean. Had everything we needed and more (apart from a kettle, which I find missing in all American hotels - not...","The is a Shell Vacations Club destination resort. We have stayed here a number of times and love to visit Kauai and stay here. The condos are spacious, are nicely appointed, and it's next to the beach. Since Wyndham took over management several years ago,...",1 building at a time is under construction. The entire building is being gutted out. The majority ruled not to do the renovations at high peak demands. But it's been over 2 years. With the updates at our meeting hopefully everything is done by October.,My husband and I have stayed here a few times. This particular time they re renovating which is extremely inconvenient when you travel from Michigan. The pool heater was out of commission the first week and the rooms are really in need of updating. So...,"Each time my husband and I have visited Kauai, we always stay here. The rooms are very comfortable and the staff are terrific. Most importantly, the location is amazing. Right by the water! It is beautiful.",756 reviews, Suites ,4.5,245,245,245
16-Apr,17-Apr,520 Aleka Loop,"Kapaa, Kauai, HI 96746-1452",Free Wifi,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Restaurant,Kauai Coast Resort at the Beachboy,+1 866-723-9878,#8,8%,60%,2%,2%,28%,"Things got off to a bad start. Upon checking in, we were directed to another counter to pick up our parking pass and the wifi code. It turns out this woman's job is to pressure you into attending a time share presentation. We said no,...",We booked this thru Travelocity not knowing it was a timeshare.  It was so pleasant having any oceanfront room. It was beautiful and we habe no complaints.... except the concierge lady (the one who gives the playing pass and tried to convince us to sit...,"My husband and I booked a very last minute vacation (less than 24 hours) at this resort. Upon arrival we found that we were in the Ali'i building and had a one bedroom suite, which had a separate bedroom, bathroom, mirror/sink area, kitchen/dining area, living...",My wife and I stayed on the third floor at the Alii Manor ;and enjoyed the way laid back environment. Staff were friendly and responsive whenever we needed something or help with finding locations offering great activities and sights.,"We stayed in the further right building and although visibly old everything was very well maintained. Our rooms were clean and spacious and the living room and kitchen in between comfortable enough to fit the four of us together. 

The lawn by the sea was...",756 reviews, Suites ,4.5,245,245,245
16-Apr,17-Apr,520 Aleka Loop,"Kapaa, Kauai, HI 96746-1452",Free Wifi,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Restaurant,Kauai Coast Resort at the Beachboy,+1 866-723-9878,#8,8%,60%,2%,2%,28%,"My husband and I recently were recently inherited a time share from my father. He encouraged us to visit the Beach Boy (we were in Kauai staying at another resort in Poipu) and said as Shell owners we'd be treated well. 

We showed up, tried...",I was finally able to book 2 units via my Shell timeshare for my family and my sister-in-law's family.  The accommodations were very spacious and well maintained although a bit dated.  The staff was very helpful and the grounds were very well maintained.  The onsite...,"Have stayed here many times over the past 8 years and enjoy it less each year.  The kitchen had baby bugs (ants or roaches), and there's constant pressure to purchase timeshare/vacation points.  The area next to the property is scheduled for development,  detracting from the...","We visited here at least 3 times and continue to enjoy the relatively quiet location right near the beach.  Note that the beach is not a good swimming beach, but is accessible to walk along and sit and watch/listen to the ocean.  We had a...","At check-in we waited for good 15-20 minutes for the parking pass. Why? Because getting parking pass is bonded with some kind of merchandise/sell you stuff. We want to get a good rest and a nice vacation not spend our time dealing with this. Additionally,...",756 reviews, Suites ,4.5,245,245,245
16-Apr,17-Apr,520 Aleka Loop,"Kapaa, Kauai, HI 96746-1452",Free Wifi,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Restaurant,Kauai Coast Resort at the Beachboy,+1 866-723-9878,#8,8%,60%,2%,2%,28%,This is primarily a timeshare property (Shell/Wyndham).  Previously it was very comfortable and well-maintained.  Since Wyndham took over the maintenance appears to be slipping.  I noted several problems in our room that should have been address before we got there.  Wyndham is planning on a...,"There is a lot to like about this hotel. The room is basically a small, nicely furnished apartment with a kitchen & living room. You're going to like this if you want to save money on food. There are restaurants nearby, but everything on Kauai...","I own at this location, or I should say did.  I am currently being hounded by Shell and their collector Pinnacle.  Obviously they either don't care or the data systems are talking to one another, or the people are not entering information into the system....",We're owners here and enjoy our time relaxing here.  It located right on the beach although the surf can be rough but sure sounds great going to sleep to it.  It needs some updating but I'm told renovations are on- going.  The units are a...,"So good and not good.
As an owner you expect more, because of the investment that they convenience you to sign. You sit through a presentation were you get nothing. Oh wait a 10% discount, but you already pay that with the  loan if you...",756 reviews, Suites ,4.5,245,245,245
16-Apr,17-Apr,520 Aleka Loop,"Kapaa, Kauai, HI 96746-1452",Free Wifi,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Restaurant,Kauai Coast Resort at the Beachboy,+1 866-723-9878,#8,8%,60%,2%,2%,28%,"My parents own with this company so we were able to stay using their points so I don't have a review of price versus quality. I can, however, review the resort and the experience. This was my second stay here. If it weren't for the...","Nice location.  Friendly local staff. Units need updating.  No elevators.  No pets.  Heated pool not dependable. Hot tub too hot at times.
Hukilau Lanai restaurant excellent and expensive.  Pool bar okay, depends on who's working it.  Pool bar menu needs more choices in both number...","My wife and I stayed at this property for a week (we are Shell Vacation Owners).  Great location, minus a beach, but there is a nice beach a few hundred yards to the south in front of Lava Lava Beach club.  Pool area is nice,...","We'very been coming since 2004.  Comfortable place, clean, and convenient.  Staff are friendly and attentive. Pool and jacuzzi are nice.  Gas grills available and nice outdoor eating areas.  Grounds are well kept.  The timeshare update initiatives are a bit annoying but avoidable. Location is mid...","The general environment of this hotel is pleasant and old school.  The rooms are comfortable.  But, each of the three times we have been here the beach disappears more.  Don't plan on having a real beach.  None of the Shell/Wyndham  properties have one.  The sales...",756 reviews, Suites ,4.5,245,245,245
16-Apr,17-Apr,410 Papaloa Rd,"Kapaa, Kauai, HI 96746-1410",Free Parking,Beachfront,Pool,Non-Smoking Hotel,Kitchenette,Laundry Service,Tennis Court,Lae Nani,+1 877-418-0711,#10,8%,57%,6%,2%,27%,"This has to be one of the best vacation we've had in a long time.  The #334 Condo was wonderful.  Beautifully appointed and everything you need to make your vacation great.  
This condo has recently been remodeled, and is very comfortable.
The view from this...",We stayed in unit 326 and it was exactly as expected - well furnished - updated - clean clean - convenient - beautiful grounds. We did not use the pool but enjoyed sitting on the beach - in the shade.  Most units are individually owned...,"Great condo for a first visit to Kauai. Centrally located on the east coast. Weather was rainy so we made more trips south than north. Would be a great summer location when the east has less rain. Condo was perfect, well equipped, nice pool and...",Our condo here on Lae Nani is just perfect. From the moment we walked in the front door and saw our view of the ocean and heard the waves. Special.  See many places to stay. Our travel agent booked this for us.  Thank You.,"We booked to stay here for two and half weeks after reading all the positive reviews. Unfortunately, our experience was different. When we arrived, we thought things looked really pretty good: clean enough, decently set up, etc. That quickly changed as we looked closer to...",273 reviews, Self-Serve Laundry ,4.5,,,
16-Apr,17-Apr,410 Papaloa Rd,"Kapaa, Kauai, HI 96746-1410",Free Parking,Beachfront,Pool,Non-Smoking Hotel,Kitchenette,Laundry Service,Tennis Court,Lae Nani,+1 877-418-0711,#10,8%,57%,6%,2%,27%,"The address is: 	
Lae Nani Resort Kauai by Outrigger
410 Papaloa Rd, Kapaa, HI, 96746 

1. There were three of us in this condo. They claim that there is a sofa bed, but the sofa bed was broken & not usable.
2. There was not...","This facility is perfectly placed on the island of Kauai, everything you need or want is in close proximity!  The condos are very spacious, full kitchen and the beach front grounds are immaculate!!  My fourth trip to Kauai ~ I highly recommend the Lae Nani...",Great location in Kapaa. Protected ocean swimming cove but also (somewhat...keep in mind the currents are strong) swimmable ocean. Lovely pool and grounds. Nice place to stay on Kauai but otherwise no exceptional amenities to note.,"Just back from stay in unit 231, and loved every minute. Beautiful view, wonderful pool, super clean and attractive unit, very comfortable bed. The property owner couldn't have been nicer. I hope we get to go again!",We enjoy this condo as it's centrally located as well as having access to a beautiful beach. We enjoy the ability to make our own breakfast and lunch to take with us. It has all the amenities of home. We have stayed here many times....,273 reviews, Self-Serve Laundry ,4.5,,,
16-Apr,17-Apr,410 Papaloa Rd,"Kapaa, Kauai, HI 96746-1410",Free Parking,Beachfront,Pool,Non-Smoking Hotel,Kitchenette,Laundry Service,Tennis Court,Lae Nani,+1 877-418-0711,#10,8%,57%,6%,2%,27%,"our condo was on the second floor over looking the pool and ocean view. grounds are beautiful and walking distance to Lava Lava and the Coconut Marketplace. we Love Lae Nani we always have a great condo with all the things we needed, blender noodles...",Our family has been staying here for 20 yrs we absolutely love it.close to everything .grounds and units are beautiful.its a small property not an overload of people .everyone is very nice .looking forward to coming back soon .our happy place.,"This is our fourth time staying at this beautiful property on Kauai's East Shore.
We return again and again because of the location, the lawn and beach and the gorgeous upkeep and foliage on the property. 
We lucked out this year by getting condo number...","Our first stay 2015 was 5 star. Unit was clean, up to date, well furnished, user friendly kitchen with all we needed for prepping meals and beach stuff.  We booked a different unit this time VRBO#340404. Smelled of mildew, advertised to sleep 4 but really...",The gated resort's beautifully maintained gardens make this place worth the stay! There is also beach and pool access. Our condo was adequate for our stay but could use a deep cleaning(especially since there is a $150.00 cleaning fee upon departure) and wifi (who doesn't...,273 reviews, Self-Serve Laundry ,4.5,,,
16-Apr,17-Apr,410 Papaloa Rd,"Kapaa, Kauai, HI 96746-1410",Free Parking,Beachfront,Pool,Non-Smoking Hotel,Kitchenette,Laundry Service,Tennis Court,Lae Nani,+1 877-418-0711,#10,8%,57%,6%,2%,27%,"Very well maintained property.  The site consists of private units, and rentals let out by Outrigger Resort.
The main office is situated about 5 mins drive at the Waipouli Resort.

A beautifully maintained gated resort situated on a small beach.   A vast lawn next to...",Quiet and homey. It varies immensely by which condo you rent. Some are beautifully and lovingly furnished and maintained and others are sparse and tired. The two bedroom ones have washer and dryer and two lanais. All share gated parking and pool and ocean views...,"I chose this Resort by looking online and I thought the view and grounds looked like what I wanted. I will say, no pictures or videos can ever do this place justice. Between the view of the ocean from our balcony and the actual grounds,...","We stayed a month (late March to April 27, 2017)  at unit 315. We have a fabulous ocean view and a lanai with a spacious backyard that my family, especially my 3 and half year old  grandson truly enjoyed. He will always remember the beach...","We were on the second floor in building 5. Had a great oceanfront view with cool breezes. The grounds are kept in beautiful condition, the pool was very clean. The condo was great, with everything we needed. We had no issues at all, and that...",273 reviews, Self-Serve Laundry ,4.5,,,
16-Apr,17-Apr,410 Papaloa Rd,"Kapaa, Kauai, HI 96746-1410",Free Parking,Beachfront,Pool,Non-Smoking Hotel,Kitchenette,Laundry Service,Tennis Court,Lae Nani,+1 877-418-0711,#10,8%,57%,6%,2%,27%,Lae Nani resort is in a wonderful location with a safe location for swimming along the beach of the beautiful Pacific Ocean.  Our two bedroom was clean and spacious with each unit having an awesome view of the beach from it's deck.  The grounds are...,We have stayed here several times and are never disappointed.  The grounds are beautiful and condos right on the beach.  The condos are nicely furnished and have everything you will need in case you decide to prepare a meal.  Love staying here as the condos...,We stayed in unit 311. By far this is the best rental we have ever had. It is a first floor unit with an awesome view of the ocean. Stones throw from the beach and pool. The beach was nice with a partitioned area for...,"We stayed in unit 523, oceanfront.  We booked through Outrigger.  I was a bit concerned about whether the unit we would be assigned would be one of the better units, and it turns out that it certainly was one of the best.  Nicely appointed and...","From glancing over other reviews of this condo complex I am guessing we hit the jackpot.  Staying in condo 525, we have WiFi AND a washer and dryer and really comfy beds.  I generally have a hard time sleeping away from home but haven't at...",273 reviews, Self-Serve Laundry ,4.5,,,
